time,x,y,z
1365,276,281,157
1366,277,281,158
1367,276,281,156
1368,278,282,156
1369,278,281,156
1370,277,280,158
1371,277,281,158
1372,278,281,156
1373,279,281,155
1374,278,281,158
1375,277,281,158
1376,277,281,157
1377,279,281,157
1378,279,281,157
1379,278,280,158
1380,277,281,159
1381,279,281,157
1382,279,280,156
1383,279,280,158
1384,278,280,158
1385,276,282,158
1386,279,281,157
1387,279,281,157
1388,278,280,158
1389,277,281,159
1390,277,281,157
1391,279,280,155
1392,279,281,158
1393,278,281,158
1394,276,280,157
1395,278,281,156
1396,279,280,157
1397,277,279,158
1398,277,281,158
1399,278,281,156
1400,278,280,155
1401,278,281,157
1402,277,281,158
1403,276,281,156
1404,279,281,155
1405,280,281,156
1406,278,280,157
1407,277,281,157
1408,278,281,155
1409,279,281,154
1410,278,281,157
1411,278,281,158
1412,276,281,156
1413,279,281,156
1414,279,281,157
1415,277,280,158
1416,277,281,158
1417,279,280,157
1418,279,280,155
1419,278,281,158
1420,277,281,159
1421,276,281,158
1422,279,280,157
1423,279,281,158
1424,277,279,158
1425,277,280,158
1426,279,280,157
1427,278,280,156
1428,278,280,158
1429,277,280,159
1430,276,280,157
1431,279,281,156
1432,280,281,158
1433,278,280,158
1434,277,281,157
1435,279,281,156
1436,279,281,155
1437,278,281,158
1438,277,281,158
1439,276,281,156
1440,279,281,155
1441,279,281,156
1442,278,280,157
1443,277,282,156
1444,279,281,156
1445,279,281,156
1446,278,280,158
1447,277,281,159
1448,277,281,156
1449,279,280,156
1450,279,281,157
1451,277,280,158
1452,277,281,158
1453,279,281,157
1454,279,281,158
1455,278,281,159
1456,277,280,160
1457,277,280,158
1458,278,280,157
1459,279,281,158
1460,278,280,159
1461,277,281,158
1462,279,281,157
1463,279,281,157
1464,278,281,158
1465,277,281,160
1466,278,280,158
1467,279,280,156
1468,280,281,158
1469,278,280,158
1470,278,281,157
1471,279,282,156
1472,279,281,156
1473,278,281,158
1474,277,281,157
1475,278,281,157
1476,279,280,156
1477,279,281,157
1478,278,281,158
1479,277,281,156
1480,279,282,156
1481,279,281,156
1482,277,281,158
1483,277,281,158
1484,278,281,156
1485,278,281,155
1486,279,281,157
1487,277,281,158
1488,276,281,157
1489,279,281,156
1490,279,280,157
1491,277,280,158
1492,277,280,159
1493,278,280,157
1494,279,280,155
1495,279,281,158
1496,277,282,158
1497,276,281,157
1498,279,281,157
1499,279,280,158
1500,278,280,159
1501,278,280,159
1502,279,280,158
1503,279,280,156
1504,279,280,159
1505,278,280,159
1506,276,281,157
1507,279,281,156
1508,279,281,157
1509,278,280,158
1510,278,281,160
1511,279,282,157
1512,279,281,155
1513,279,281,158
1514,277,281,158
1515,276,280,156
1516,279,281,155
1517,279,281,156
1518,277,280,156
1519,277,281,157
1520,278,281,156
1521,279,281,154
1522,278,281,157
1523,277,281,157
1524,276,281,156
1525,279,281,156
1526,279,281,157
1527,277,279,158
1528,277,281,158
1529,275,280,156
1530,278,280,155
1531,278,281,158
1532,277,282,158
1533,278,280,157
1534,279,280,156
1535,279,280,158
1536,277,279,159
1537,277,281,158
1538,279,280,157
1539,279,280,155
1540,278,281,158
1541,278,281,159
1542,276,281,157
1543,279,281,157
1544,279,280,158
1545,278,279,158
1546,278,279,158
1547,279,281,157
1548,279,281,155
1549,278,281,158
1550,277,281,158
1551,276,281,156
1552,279,281,155
1553,279,281,157
1554,277,280,157
1555,278,280,157
1556,278,281,155
1557,279,281,154
1558,278,281,157
1559,278,281,158
1560,276,281,156
