time,x,y,z
1073,279,281,156
1074,279,281,155
1075,278,280,158
1076,277,281,157
1077,279,281,156
1078,279,280,155
1079,278,281,158
1080,277,281,159
1081,277,281,156
1082,279,280,156
1083,279,281,158
1084,278,280,158
1085,278,281,157
1086,279,281,155
1087,279,281,155
1088,278,280,156
1089,277,281,159
1090,277,281,156
1091,279,281,156
1092,280,281,158
1093,278,280,158
1094,278,281,157
1095,279,281,156
1096,279,281,156
1097,278,281,158
1098,278,281,159
1099,277,281,156
1100,279,281,156
1101,278,281,158
1102,278,280,158
1103,278,281,157
1104,279,281,156
1105,279,279,156
1106,278,281,158
1107,275,281,159
1108,277,281,157
1109,279,281,156
1110,279,281,158
1111,277,280,158
1112,277,281,157
1113,279,282,156
1114,279,280,156
1115,278,281,158
1116,277,281,159
1117,278,281,156
1118,279,281,156
1119,279,281,158
1120,278,280,158
1121,277,281,157
1122,279,282,156
1123,279,280,156
1124,278,280,158
1125,277,281,159
1126,278,281,156
1127,279,281,156
1128,279,281,157
1129,278,280,158
1130,277,281,157
1131,279,280,156
1132,279,280,156
1133,278,281,158
1134,277,281,158
1135,278,280,156
1136,279,281,156
1137,279,281,158
1138,277,280,158
1139,277,281,157
1140,279,281,156
1141,279,280,156
1142,278,280,158
1143,277,281,158
1144,278,281,156
1145,279,280,156
1146,279,281,158
1147,277,280,158
1148,277,281,157
1149,279,281,156
1150,279,281,156
1151,278,280,158
1152,277,281,158
1153,278,281,156
1154,279,280,155
1155,279,281,158
1156,277,280,158
1157,276,281,156
1158,279,281,156
1159,279,281,157
1160,278,280,158
1161,277,281,158
1162,278,281,156
1163,279,280,155
1164,279,281,156
1165,277,281,158
1166,276,281,157
1167,279,281,156
1168,279,281,155
1169,278,280,158
1170,278,281,158
1171,278,281,156
1172,280,280,155
1173,278,281,157
1174,277,281,158
1175,276,281,157
1176,279,280,156
1177,279,280,156
1178,277,280,158
1179,277,280,158
1180,278,281,156
1181,279,281,155
1182,278,281,157
1183,276,280,158
1184,276,281,156
1185,279,281,156
1186,279,281,157
1187,278,280,158
1188,278,281,158
1189,278,280,156
1190,279,281,155
1191,278,281,158
1192,278,281,158
1193,276,281,157
1194,279,280,156
1195,279,281,157
1196,278,279,158
1197,277,281,158
1198,278,280,156
1199,279,280,155
1200,278,281,158
1201,277,281,158
1202,276,281,157
1203,280,281,156
1204,279,282,158
1205,278,280,158
1206,276,281,158
1207,278,281,156
1208,279,281,155
1209,278,279,158
1210,278,281,158
1211,276,281,154
1212,278,281,156
1213,279,281,158
1214,277,279,155
1215,277,281,158
1216,279,282,156
1217,278,281,155
1218,279,281,158
1219,278,281,158
1220,277,281,156
1221,279,281,156
1222,278,281,157
1223,278,280,158
1224,277,281,157
1225,279,281,156
1226,279,280,155
1227,278,281,158
1228,278,281,160
1229,277,281,157
1230,279,280,153
1231,279,280,158
1232,278,280,158
1233,277,280,158
1234,278,281,156
1235,280,281,156
1236,278,281,158
1237,277,281,159
1238,276,281,156
1239,279,280,156
1240,279,281,158
1241,277,280,158
1242,277,281,157
1243,279,281,156
1244,279,280,155
1245,278,281,158
1246,277,281,158
1247,277,282,156
1248,279,280,156
1249,280,280,158
1250,276,280,158
1251,277,281,157
1252,279,282,156
1253,279,281,156
1254,278,281,158
1255,277,281,159
1256,277,281,157
1257,279,280,156
1258,279,281,158
1259,277,280,158
1260,277,281,157
1261,279,281,157
1262,279,281,156
1263,278,281,158
